merchant_103 {x : 363, y : 422} | killed by | knight_100 {x : 387, y : 384}
merchant_159 {x : 360, y : 366} | killed by | knight_100 {x : 387, y : 384}
merchant_169 {x : 405, y : 341} | killed by | knight_100 {x : 387, y : 384}
merchant_191 {x : 380, y : 400} | killed by | knight_100 {x : 387, y : 384}
merchant_112 {x : 457, y : 394} | killed by | knight_102 {x : 493, y : 387}
squirrel_198 {x : 96, y : 191} | killed by | squirrel_104 {x : 60, y : 191}
merchant_143 {x : 68, y : 428} | killed by | knight_105 {x : 41, y : 427}
merchant_163 {x : 30, y : 396} | killed by | knight_105 {x : 41, y : 427}
squirrel_195 {x : 200, y : 164} | killed by | squirrel_106 {x : 237, y : 173}
squirrel_124 {x : 46, y : 83} | killed by | merchant_109 {x : 68, y : 124}
squirrel_135 {x : 98, y : 102} | killed by | merchant_109 {x : 68, y : 124}
squirrel_141 {x : 98, y : 118} | killed by | merchant_109 {x : 68, y : 124}
squirrel_168 {x : 39, y : 114} | killed by | merchant_109 {x : 68, y : 124}
squirrel_177 {x : 43, y : 83} | killed by | merchant_109 {x : 68, y : 124}
squirrel_189 {x : 63, y : 138} | killed by | merchant_109 {x : 68, y : 124}
squirrel_190 {x : 37, y : 101} | killed by | merchant_109 {x : 68, y : 124}
merchant_101 {x : 294, y : 416} | killed by | knight_110 {x : 303, y : 430}
merchant_126 {x : 251, y : 44} | killed by | knight_113 {x : 230, y : 43}
squirrel_134 {x : 379, y : 435} | killed by | squirrel_114 {x : 420, y : 422}
squirrel_121 {x : 337, y : 328} | killed by | squirrel_116 {x : 371, y : 316}
squirrel_179 {x : 349, y : 305} | killed by | squirrel_116 {x : 371, y : 316}
squirrel_173 {x : 491, y : 184} | killed by | merchant_119 {x : 497, y : 171}
squirrel_182 {x : 423, y : 341} | killed by | squirrel_120 {x : 426, y : 306}
squirrel_147 {x : 233, y : 372} | killed by | merchant_122 {x : 230, y : 347}
squirrel_149 {x : 209, y : 369} | killed by | merchant_122 {x : 230, y : 347}
squirrel_181 {x : 247, y : 344} | killed by | merchant_122 {x : 230, y : 347}
squirrel_185 {x : 321, y : 306} | killed by | squirrel_127 {x : 277, y : 309}
squirrel_188 {x : 259, y : 283} | killed by | squirrel_127 {x : 277, y : 309}
merchant_183 {x : 106, y : 311} | killed by | knight_128 {x : 85, y : 289}
squirrel_106 {x : 237, y : 173} | killed by | merchant_129 {x : 255, y : 152}
squirrel_160 {x : 52, y : 433} | killed by | squirrel_130 {x : 61, y : 433}
squirrel_166 {x : 30, y : 429} | killed by | squirrel_130 {x : 61, y : 433}
merchant_146 {x : 125, y : 220} | killed by | knight_132 {x : 87, y : 227}
merchant_151 {x : 119, y : 224} | killed by | knight_132 {x : 87, y : 227}
squirrel_161 {x : 276, y : 229} | killed by | squirrel_137 {x : 302, y : 257}
squirrel_164 {x : 294, y : 236} | killed by | squirrel_137 {x : 302, y : 257}
merchant_187 {x : 209, y : 466} | killed by | knight_140 {x : 230, y : 441}
merchant_155 {x : 194, y : 351} | killed by | knight_150 {x : 150, y : 341}
squirrel_120 {x : 426, y : 306} | killed by | merchant_152 {x : 452, y : 347}
squirrel_125 {x : 435, y : 368} | killed by | merchant_152 {x : 452, y : 347}
merchant_133 {x : 296, y : 40} | killed by | knight_156 {x : 265, y : 35}
squirrel_114 {x : 420, y : 422} | killed by | merchant_167 {x : 444, y : 405}
squirrel_157 {x : 488, y : 415} | killed by | merchant_167 {x : 444, y : 405}
merchant_167 {x : 444, y : 405} | killed by | knight_171 {x : 418, y : 418}
merchant_194 {x : 395, y : 434} | killed by | knight_171 {x : 418, y : 418}
merchant_122 {x : 230, y : 347} | killed by | knight_172 {x : 244, y : 325}
merchant_131 {x : 240, y : 369} | killed by | knight_172 {x : 244, y : 325}
merchant_152 {x : 452, y : 347} | killed by | knight_100 {x : 387, y : 384}
merchant_136 {x : 493, y : 318} | killed by | knight_102 {x : 493, y : 387}
squirrel_108 {x : 31, y : 283} | killed by | squirrel_104 {x : 60, y : 191}
squirrel_104 {x : 60, y : 191} | killed by | merchant_109 {x : 68, y : 124}
squirrel_117 {x : 92, y : 27} | killed by | merchant_109 {x : 68, y : 124}
squirrel_175 {x : 6, y : 91} | killed by | merchant_109 {x : 68, y : 124}
merchant_109 {x : 68, y : 124} | killed by | knight_111 {x : 70, y : 59}
squirrel_127 {x : 277, y : 309} | killed by | squirrel_116 {x : 371, y : 316}
squirrel_137 {x : 302, y : 257} | killed by | squirrel_116 {x : 371, y : 316}
squirrel_145 {x : 307, y : 466} | killed by | squirrel_118 {x : 374, y : 457}
squirrel_139 {x : 445, y : 190} | killed by | merchant_119 {x : 497, y : 171}
squirrel_158 {x : 492, y : 244} | killed by | merchant_119 {x : 497, y : 171}
squirrel_180 {x : 329, y : 123} | killed by | merchant_129 {x : 255, y : 152}
squirrel_162 {x : 122, y : 475} | killed by | squirrel_130 {x : 61, y : 433}
merchant_129 {x : 255, y : 152} | killed by | knight_170 {x : 189, y : 129}
merchant_184 {x : 231, y : 162} | killed by | knight_170 {x : 189, y : 129}
merchant_154 {x : 229, y : 265} | killed by | knight_172 {x : 244, y : 325}
merchant_174 {x : 226, y : 273} | killed by | knight_172 {x : 244, y : 325}
squirrel_118 {x : 374, y : 457} | killed by | squirrel_116 {x : 371, y : 316}
merchant_119 {x : 497, y : 171} | killed by | knight_138 {x : 442, y : 287}
merchant_153 {x : 380, y : 56} | killed by | knight_156 {x : 265, y : 35}
merchant_193 {x : 382, y : 132} | killed by | knight_113 {x : 230, y : 43}
squirrel_116 {x : 371, y : 316} | killed by | squirrel_115 {x : 199, y : 38}
squirrel_130 {x : 61, y : 433} | killed by | squirrel_115 {x : 199, y : 38}
